,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,
Code,New Code,Area,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AY,E09000022,Lambeth,"30,881","1,185",3.8,"31,000","1,068",3.4,"31,126","1,085",3.5,"31,213","1,008",3.2,"31,815","1,009",3.2,"32,023","1,062",3.3,"32,422","1,123",3.5,"32,956","1,213",3.7,"33,681","1,269",3.8,"34,523","1,329",3.8,"35,250","1,272",3.6,"36,292","1,301",3.6,"37,540","1,303",3.5,"38,347","1,342",3.5,"39,582","1,403",3.5,"40,304","1,522",3.8,"40,427","1,660",4.1,"40,328","1,766",4.4
00AZ,E09000023,Lewisham,"38,469","1,215",3.2,"38,485","1,252",3.3,"37,827","1,205",3.2,"37,675","1,233",3.3,"37,681","1,192",3.2,"37,602","1,158",3.1,"37,604","1,128",3.0,"38,076","1,134",3.0,"38,891","1,120",2.9,"39,700","1,106",2.8,"40,595","1,107",2.7,"41,683","1,126",2.7,"42,389","1,149",2.7,"43,141","1,206",2.8,"43,537","1,232",2.8,"43,183","1,276",3.0,"42,813","1,337",3.1,"42,265","1,494",3.5
00BA,E09000024,Merton,"26,667",822,3.1,"26,936",891,3.3,"26,978",867,3.2,"27,135",923,3.4,"27,335",975,3.6,"27,417",957,3.5,"27,745",919,3.3,"28,220",928,3.3,"28,768",891,3.1,"29,667",922,3.1,"30,825",962,3.1,"31,530","1,045",3.3,"32,079","1,103",3.4,"32,873","1,134",3.4,"33,153","1,148",3.5,"33,214","1,181",3.6,"33,184","1,242",3.7,"33,255","1,358",4.1
00BB,E09000025,Newham,"50,549","1,257",2.5,"50,925","1,112",2.2,"50,710",951,1.9,"50,583",778,1.5,"50,538",701,1.4,"50,901",629,1.2,"50,659",535,1.1,"51,199",506,1.0,"52,696",456,0.9,"53,523",444,0.8,"55,228",468,0.8,"56,301",468,0.8,"57,673",468,0.8,"59,341",531,0.9,"61,029",489,0.8,"62,135",488,0.8,"63,049",412,0.7,"64,676",537,0.8
00BC,E09000026,Redbridge,"47,817","1,032",2.2,"48,095","1,092",2.3,"48,228","1,109",2.3,"48,733","1,147",2.4,"49,211","1,216",2.5,"49,906","1,266",2.5,"50,566","1,301",2.6,"51,531","1,313",2.5,"52,442","1,259",2.4,"53,684","1,271",2.4,"54,793","1,273",2.3,"55,656","1,307",2.3,"56,736","1,350",2.4,"58,140","1,380",2.4,"59,190","1,426",2.4,"60,051","1,467",2.4,"60,402","1,521",2.5,"61,354","1,603",2.6
00BD,E09000027,Richmond upon Thames,"28,107",651,2.3,"28,297",626,2.2,"28,362",648,2.3,"28,448",661,2.3,"28,883",623,2.2,"29,102",653,2.2,"29,437",647,2.2,"29,630",682,2.3,"30,140",689,2.3,"30,393",703,2.3,"31,143",737,2.4,"32,112",731,2.3,"33,198",807,2.4,"34,857",844,2.4,"36,039",891,2.5,"36,837",898,2.4,"37,686",974,2.6,"38,426","1,032",2.7
00BE,E09000028,Southwark,"41,913","1,292",3.1,"42,113","1,394",3.3,"42,185","1,486",3.5,"42,199","1,511",3.6,"42,140","1,481",3.5,"41,860","1,442",3.4,"41,428","1,402",3.4,"41,550","1,312",3.2,"42,103","1,265",3.0,"42,536","1,246",2.9,"43,359","1,251",2.9,"44,301","1,217",2.7,"45,297","1,248",2.8,"46,203","1,266",2.7,"47,486","1,286",2.7,"48,050","1,343",2.8,"48,706","1,408",2.9,"49,299","1,519",3.1
00BF,E09000029,Sutton,"31,764",958,3.0,"33,022",975,3.0,"33,034","1,017",3.1,"33,160","1,056",3.2,"33,069","1,024",3.1,"33,302","1,029",3.1,"33,620","1,040",3.1,"33,827","1,057",3.1,"33,990","1,046",3.1,"34,448","1,115",3.2,"34,996","1,108",3.2,"35,840","1,119",3.1,"36,602","1,106",3.0,"37,275","1,090",2.9,"38,150","1,137",3.0,"38,943","1,218",3.1,"39,878","1,318",3.3,"40,638","1,333",3.3
00BG,E09000030,Tower Hamlets,"37,935","1,454",3.8,"38,316","1,490",3.9,"38,599","1,373",3.6,"38,433","1,342",3.5,"38,873","1,330",3.4,"39,141","1,249",3.2,"39,427","1,278",3.2,"39,767","1,355",3.4,"40,865","1,363",3.3,"41,742","1,401",3.4,"42,188","1,477",3.5,"43,494","1,562",3.6,"44,547","1,622",3.6,"45,620","1,754",3.8,"46,433","1,850",4.0,"46,679","1,968",4.2,"47,278","2,096",4.4,"47,912","2,226",4.6
00BH,E09000031,Waltham Forest,"37,503","1,315",3.5,"37,707","1,330",3.5,"37,860","1,346",3.6,"37,825","1,378",3.6,"38,580","1,373",3.6,"38,618","1,411",3.7,"38,867","1,379",3.5,"39,315","1,370",3.5,"39,948","1,311",3.3,"40,917","1,275",3.1,"42,140","1,299",3.1,"42,970","1,305",3.0,"43,735","1,347",3.1,"44,244","1,399",3.2,"44,933","1,380",3.1,"45,287","1,388",3.1,"45,196","1,497",3.3,"45,091","1,628",3.6
00BJ,E09000032,Wandsworth,"37,957","1,228",3.2,"37,986","1,310",3.4,"38,141","1,392",3.6,"38,082","1,456",3.8,"38,390","1,456",3.8,"38,489","1,423",3.7,"38,801","1,376",3.5,"39,332","1,340",3.4,"39,825","1,419",3.6,"40,303","1,470",3.6,"40,743","1,553",3.8,"41,241","1,581",3.8,"41,886","1,631",3.9,"42,871","1,707",4.0,"43,593","1,697",3.9,"44,175","1,726",3.9,"44,539","1,846",4.1,"44,921","2,007",4.5
00BK,E09000033,Westminster,"25,930",616,2.4,"26,578",633,2.4,"26,793",625,2.3,"27,489",643,2.3,"27,264",614,2.3,"27,499",631,2.3,"27,724",645,2.3,"27,615",688,2.5,"28,510",720,2.5,"29,265",709,2.4,"29,879",770,2.6,"30,120",799,2.7,"30,416",811,2.7,"31,001",822,2.7,"31,439",828,2.6,"31,347",826,2.6,"31,830",871,2.7,"32,102",916,2.9
